JAHR,BFS_NR_GEMEINDE,GEMEINDE_NAME,EINWOHNER,energiebezugsflaeche,erdoelbrennstoffe,erdgas,elektrizitaet,holzenergie,fernwaerme,umweltwaerme,solarwaerme,andere,total
2020,4721,Bichelsee-Balterswil,2949,237718,9.921,0.844,3.106,3.361,5.894,2.472,0.281,0.007,25.884
2020,4723,Braunau,801,69265,2.745,,1.041,2.792,0.179,0.747,0.095,,7.599
2020,4921,Bussnang,2466,211198,7.852,4.663,2.623,5.228,0.087,2.843,0.579,0.068,23.942
2020,4411,Egnach,4773,430696,18.846,10.313,5.27,7.724,0.644,4.905,0.391,0.423,48.517
2020,4476,Erlen,3794,287449,12.023,10.372,2.862,3.775,0.15,2.929,0.188,,32.298
2020,4651,Gottlieben,334,41596,1.542,2.446,0.173,0.11,,0.12,0.111,,4.502
2020,4656,Güttingen,1663,166505,5.774,5.32,1.57,3.136,0.039,1.525,0.166,0.139,17.669
2020,4416,Hefenhofen,1276,116623,4.273,3.399,1.422,2.247,0.098,1.06,0.272,,12.772
2020,4421,Horn,2883,247672,8.189,7.996,1.453,0.52,3.9,1.259,0.352,,23.669
2020,4666,Kemmental,2592,244047,10.796,0.293,2.842,8.922,0.719,3.436,0.274,0.019,27.301
2020,4501,Kradolf-Schönenberg,3653,305845,11.36,10.322,2.739,5.258,1.833,2.007,0.151,,33.67
2020,4671,Kreuzlingen,22375,1857797,72.882,73.959,11.111,8.114,0.721,13.529,0.922,0.168,181.407
2020,4941,Märstetten,2887,235602,8.955,8.669,2.187,2.554,0.318,2.26,0.191,0.03,25.163
2020,4841,Pfyn,2094,170225,6.153,6.752,1.592,2.686,0.009,1.594,0.208,,18.995
2020,4846,Raperswilen,416,36426,1.758,,0.54,1.637,0.114,0.401,0.035,,4.486
2020,4431,Roggwil (TG),3253,287529,15.509,3.446,2.801,3.071,0.914,3.244,0.143,0.156,29.285
2020,4851,Salenstein,1409,157090,6.545,3.851,1.622,3.05,0.252,1.599,0.065,0.027,17.011
2020,4446,Sommeri,622,66411,2.471,,1.007,2.987,0.199,1.13,0.062,,7.855
2020,4776,Tobel-Tägerschen,1588,140978,7.021,2.368,2.097,1.934,0.044,1.679,0.207,0.015,15.364
2020,4621,Warth-Weiningen,1363,128337,6.13,6.478,1.604,3.064,0.126,1.736,0.188,0.062,19.388
2020,4951,Wigoltingen,2560,222438,8.359,6.778,2.432,3.962,0.222,2.76,0.136,0.01,24.66
2019,4641,Altnau,2280,212158,5.76,4.689,2.122,7.038,0.34,2.334,0.106,0.021,22.409
2019,4401,Arbon,14718,1199416,67.601,32.814,10.446,2.494,8.451,8.276,0.331,1.082,131.494
2019,4721,Bichelsee-Balterswil,2873,236946,10.494,0.861,3.174,3.506,5.995,2.518,0.149,,26.698
2019,4901,Birwinken,1340,107443,6.658,,1.574,3.555,0.729,1.072,0.052,,13.64
2019,4723,Braunau,814,66556,2.874,,1.06,2.733,0.185,0.747,0.04,,7.639
2019,4411,Egnach,4687,424439,20.16,10.76,5.229,7.995,0.499,4.547,0.381,0.382,49.953
2019,4476,Erlen,3764,285596,12.545,10.617,2.924,3.991,0.155,2.742,0.16,,33.135
2019,4561,Felben-Wellhausen,2858,203129,11.952,1.813,1.733,1.647,1.827,1.674,0.12,0.019,20.785
2019,4571,Gachnang,4443,336559,13.812,10.123,3.37,1.885,0.018,4.842,0.268,,34.318
2019,4656,Güttingen,1656,165072,6.132,5.481,1.552,3.28,0.04,1.386,0.168,0.143,18.184
2019,4811,Herdern,1111,98205,5.438,,1.575,3.539,0.881,1.532,0.081,0.016,13.061
2019,4495,Hohentannen,584,57458,2.473,,0.737,2.827,0.989,0.21,0.037,,7.274
2019,4666,Kemmental,2591,243745,11.285,0.302,2.84,9.241,0.835,3.287,0.279,0.02,28.088
2019,4501,Kradolf-Schönenberg,3605,304141,11.504,10.972,2.749,5.5,1.812,1.866,0.14,0.076,34.62
2019,4826,Mammern,658,70136,6.319,2.411,0.811,0.854,0.012,0.623,0.012,,11.042
2019,4831,Müllheim,2995,226786,7.646,12.003,2.293,1.682,0.087,1.798,0.054,,25.564
2019,4691,Münsterlingen,3495,332109,13.478,27.289,2.312,1.028,0.298,3.104,0.174,0.088,47.77
2019,4601,Neunforn,1040,102304,4.376,,1.795,2.855,1.591,1.675,0.096,0.016,12.404
2019,4846,Raperswilen,413,35790,1.895,,0.531,1.653,0.118,0.358,0.034,,4.589
2019,4751,Rickenbach (TG),2798,226106,10.462,7.718,1.531,0.78,1.065,0.696,0.063,0.031,22.348
2019,4436,Romanshorn,11236,932887,35.526,45.492,7.26,3.93,1.489,7.363,0.567,0.182,101.809
2019,4546,Schlatt (TG),1771,154359,8.633,1.51,2.716,2.054,0.287,2.277,0.072,0.021,17.569
2019,4761,Sirnach,7783,677925,25.04,30.892,4.326,6.821,0.281,3.771,0.558,0.176,71.866
2019,4864,Steckborn,3736,343297,18.173,13.931,3.116,2.775,0.099,3.089,0.173,0.037,41.393
2019,4696,Tägerwilen,4765,399919,14.515,12.895,4.105,2.234,0.722,4.611,0.102,0.032,39.216
